Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},13a2e4365d0a115756c58b76e3e3cbf561e8c5db
calc,multiply,2427967954614,5204421286638,2,5,"{""a"":6,""b"":7}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
calc,multiply,2427988078020,5205032871456,2,5,"{""a"":2424,""b"":-242552}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
calc,multiply,2427997021756,5204720886587,2,5,"{""a"":-43222,""b"":-23422424}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
calc,multiply,2427994785822,5204688399165,2,5,"{""a"":-113444,""b"":1344114}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
calc,multiply,2427985842086,5204863327537,2,5,"{""a"":0,""b"":133944141}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
calc,multiply,2427997021756,5205358210040,2,5,"{""a"":31333,""b"":-144422424}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
calc,multiply,2428005965492,5205560135224,2,5,"{""a"":2424422442,""b"":242456969}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
calc,multiply,2428008201426,5204999415570,2,5,"{""a"":-42343435435,""b"":-2444224}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
calc,multiply,2427985842086,5205330652945,2,5,"{""a"":424242424,""b"":0}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
calc,multiply,2427967954614,5205662315133,2,5,"{""a"":0,""b"":0}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench,cpu_ram_soak_test,2427999257690,107824358164954,2,107,"{""loop_limit"":100}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench,cpu_ram_soak_test,2427999257690,130121374867354,2,130,"{""loop_limit"":500}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench,cpu_ram_soak_test,2428001493624,157992702915456,2,157,"{""loop_limit"":1000}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench,cpu_ram_soak_test,2428001493624,185863973793456,2,185,"{""loop_limit"":1500}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench,cpu_ram_soak_test,2428001493624,213735244671456,2,213,"{""loop_limit"":2000}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench,cpu_ram_soak_test,2428001493624,269477786427456,2,269,"{""loop_limit"":3000}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench-mini,cpu_ram_soak_test,2428001493624,256574071221312,2,256,"{""loop_limit"":5000}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench-mini,cpu_ram_soak_test,2428001493624,156059616213312,2,156,"{""loop_limit"":3000}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench-mini,cpu_ram_soak_test,2428001493624,105802388709312,2,105,"{""loop_limit"":2000}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench-mini,cpu_ram_soak_test,2428001493624,55545161205312,2,55,"{""loop_limit"":1000}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,59404760681880,2,59,"{""loop_limit"":1000}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,32784433131778,2,32,"{""loop_limit"":500}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11488216827778,2,11,"{""loop_limit"":100}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,55424274278442,2,55,"{""loop_limit"":1000}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,30305065050340,2,30,"{""loop_limit"":500}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,10209743403940,2,10,"{""loop_limit"":100}",13a2e4365d0a115756c58b76e3e3cbf561e8c5db
