Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},2ec91d8
calc,multiply,2427967954614,5203881558702,2,5,"{""a"":6,""b"":7}",2ec91d8
calc,multiply,2427988078020,5204493143520,2,5,"{""a"":2424,""b"":-242552}",2ec91d8
calc,multiply,2427997021756,5204181158651,2,5,"{""a"":-43222,""b"":-23422424}",2ec91d8
calc,multiply,2427994785822,5204148671229,2,5,"{""a"":-113444,""b"":1344114}",2ec91d8
calc,multiply,2427985842086,5204323599601,2,5,"{""a"":0,""b"":133944141}",2ec91d8
calc,multiply,2427997021756,5204818482104,2,5,"{""a"":31333,""b"":-144422424}",2ec91d8
calc,multiply,2428005965492,5205020407288,2,5,"{""a"":2424422442,""b"":242456969}",2ec91d8
calc,multiply,2428008201426,5204459687634,2,5,"{""a"":-42343435435,""b"":-2444224}",2ec91d8
calc,multiply,2427985842086,5204790925009,2,5,"{""a"":424242424,""b"":0}",2ec91d8
calc,multiply,2427967954614,5205122587197,2,5,"{""a"":0,""b"":0}",2ec91d8
bench,cpu_ram_soak_test,2427999257690,107874277239742,2,107,"{""loop_limit"":100}",2ec91d8
bench,cpu_ram_soak_test,2427999257690,130356907695742,2,130,"{""loop_limit"":500}",2ec91d8
bench,cpu_ram_soak_test,2428001493624,158460252935844,2,158,"{""loop_limit"":1000}",2ec91d8
bench,cpu_ram_soak_test,2428001493624,186563541005844,2,186,"{""loop_limit"":1500}",2ec91d8
bench,cpu_ram_soak_test,2428001493624,214666829075844,2,214,"{""loop_limit"":2000}",2ec91d8
bench,cpu_ram_soak_test,2428001493624,270873405215844,2,270,"{""loop_limit"":3000}",2ec91d8
bench-mini,cpu_ram_soak_test,2428001493624,253149779672700,2,253,"{""loop_limit"":5000}",2ec91d8
bench-mini,cpu_ram_soak_test,2428001493624,154004390648700,2,154,"{""loop_limit"":3000}",2ec91d8
bench-mini,cpu_ram_soak_test,2428001493624,104431696136700,2,104,"{""loop_limit"":2000}",2ec91d8
bench-mini,cpu_ram_soak_test,2428001493624,54859001624700,2,54,"{""loop_limit"":1000}",2ec91d8
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,54264538269984,2,54,"{""loop_limit"":1000}",2ec91d8
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,30214089085882,2,30,"{""loop_limit"":500}",2ec91d8
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,10973775474682,2,10,"{""loop_limit"":100}",2ec91d8
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,52375489174236,2,52,"{""loop_limit"":1000}",2ec91d8
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,28781258192134,2,28,"{""loop_limit"":500}",2ec91d8
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,9905919142534,2,9,"{""loop_limit"":100}",2ec91d8
