Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},3194720
calc,multiply,2427967954614,5203647895998,2,5,"{""a"":6,""b"":7}",3194720
calc,multiply,2427988078020,5204259480816,2,5,"{""a"":2424,""b"":-242552}",3194720
calc,multiply,2427997021756,5203947495947,2,5,"{""a"":-43222,""b"":-23422424}",3194720
calc,multiply,2427994785822,5203915008525,2,5,"{""a"":-113444,""b"":1344114}",3194720
calc,multiply,2427985842086,5204089936897,2,5,"{""a"":0,""b"":133944141}",3194720
calc,multiply,2427997021756,5204584819400,2,5,"{""a"":31333,""b"":-144422424}",3194720
calc,multiply,2428005965492,5204786744584,2,5,"{""a"":2424422442,""b"":242456969}",3194720
calc,multiply,2428008201426,5204226024930,2,5,"{""a"":-42343435435,""b"":-2444224}",3194720
calc,multiply,2427985842086,5204557262305,2,5,"{""a"":424242424,""b"":0}",3194720
calc,multiply,2427967954614,5204888924493,2,5,"{""a"":0,""b"":0}",3194720
bench,cpu_ram_soak_test,2427999257690,107229485830810,2,107,"{""loop_limit"":100}",3194720
bench,cpu_ram_soak_test,2427999257690,127139522826010,2,127,"{""loop_limit"":500}",3194720
bench,cpu_ram_soak_test,2428001493624,152027126240112,2,152,"{""loop_limit"":1000}",3194720
bench,cpu_ram_soak_test,2428001493624,176914672484112,2,176,"{""loop_limit"":1500}",3194720
bench,cpu_ram_soak_test,2428001493624,201802218728112,2,201,"{""loop_limit"":2000}",3194720
bench,cpu_ram_soak_test,2428001493624,251577311216112,2,251,"{""loop_limit"":3000}",3194720
bench-mini,cpu_ram_soak_test,2428001493624,248475341646816,2,248,"{""loop_limit"":5000}",3194720
bench-mini,cpu_ram_soak_test,2428001493624,151200899766816,2,151,"{""loop_limit"":3000}",3194720
bench-mini,cpu_ram_soak_test,2428001493624,102563678826816,2,102,"{""loop_limit"":2000}",3194720
bench-mini,cpu_ram_soak_test,2428001493624,53926457886816,2,53,"{""loop_limit"":1000}",3194720
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,57302259557508,2,57,"{""loop_limit"":1000}",3194720
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,31734236931406,2,31,"{""loop_limit"":500}",3194720
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11279864566606,2,11,"{""loop_limit"":100}",3194720
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,50260547979144,2,50,"{""loop_limit"":1000}",3194720
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,27721501567042,2,27,"{""loop_limit"":500}",3194720
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,9690310173442,2,9,"{""loop_limit"":100}",3194720
