Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},74ff7c3
calc,multiply,2427967954614,5205637926012,2,5,"{""a"":6,""b"":7}",74ff7c3
calc,multiply,2427988078020,5206249510830,2,5,"{""a"":2424,""b"":-242552}",74ff7c3
calc,multiply,2427997021756,5205937525961,2,5,"{""a"":-43222,""b"":-23422424}",74ff7c3
calc,multiply,2427994785822,5205905038539,2,5,"{""a"":-113444,""b"":1344114}",74ff7c3
calc,multiply,2427985842086,5206079966911,2,5,"{""a"":0,""b"":133944141}",74ff7c3
calc,multiply,2427997021756,5206574849414,2,5,"{""a"":31333,""b"":-144422424}",74ff7c3
calc,multiply,2428005965492,5206776774598,2,5,"{""a"":2424422442,""b"":242456969}",74ff7c3
calc,multiply,2428008201426,5206216054944,2,5,"{""a"":-42343435435,""b"":-2444224}",74ff7c3
calc,multiply,2427985842086,5206547292319,2,5,"{""a"":424242424,""b"":0}",74ff7c3
calc,multiply,2427967954614,5206878954507,2,5,"{""a"":0,""b"":0}",74ff7c3
bench,cpu_ram_soak_test,2427999257690,107097066543634,2,107,"{""loop_limit"":100}",74ff7c3
bench,cpu_ram_soak_test,2427999257690,126486792644434,2,126,"{""loop_limit"":500}",74ff7c3
bench,cpu_ram_soak_test,2428001493624,150724007440536,2,150,"{""loop_limit"":1000}",74ff7c3
bench,cpu_ram_soak_test,2428001493624,174961165066536,2,174,"{""loop_limit"":1500}",74ff7c3
bench,cpu_ram_soak_test,2428001493624,199198322692536,2,199,"{""loop_limit"":2000}",74ff7c3
bench,cpu_ram_soak_test,2428001493624,247672637944536,2,247,"{""loop_limit"":3000}",74ff7c3
bench-mini,cpu_ram_soak_test,2428001493624,258925751405088,2,258,"{""loop_limit"":5000}",74ff7c3
bench-mini,cpu_ram_soak_test,2428001493624,157470063533088,2,157,"{""loop_limit"":3000}",74ff7c3
bench-mini,cpu_ram_soak_test,2428001493624,106742219597088,2,106,"{""loop_limit"":2000}",74ff7c3
bench-mini,cpu_ram_soak_test,2428001493624,56014375661088,2,56,"{""loop_limit"":1000}",74ff7c3
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,55666744042908,2,55,"{""loop_limit"":1000}",74ff7c3
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,30915718124806,2,30,"{""loop_limit"":500}",74ff7c3
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11114943126406,2,11,"{""loop_limit"":100}",74ff7c3
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,52848807536940,2,52,"{""loop_limit"":1000}",74ff7c3
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,29018034204838,2,29,"{""loop_limit"":500}",74ff7c3
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,9953461275238,2,9,"{""loop_limit"":100}",74ff7c3
