Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},78e8e39a2a4173370af50410f859bc980bdd82f9
calc,multiply,2427967954614,5203534961676,2,5,"{""a"":6,""b"":7}",78e8e39a2a4173370af50410f859bc980bdd82f9
calc,multiply,2427988078020,5204146546494,2,5,"{""a"":2424,""b"":-242552}",78e8e39a2a4173370af50410f859bc980bdd82f9
calc,multiply,2427997021756,5203834561625,2,5,"{""a"":-43222,""b"":-23422424}",78e8e39a2a4173370af50410f859bc980bdd82f9
calc,multiply,2427994785822,5203802074203,2,5,"{""a"":-113444,""b"":1344114}",78e8e39a2a4173370af50410f859bc980bdd82f9
calc,multiply,2427985842086,5203977002575,2,5,"{""a"":0,""b"":133944141}",78e8e39a2a4173370af50410f859bc980bdd82f9
calc,multiply,2427997021756,5204471885078,2,5,"{""a"":31333,""b"":-144422424}",78e8e39a2a4173370af50410f859bc980bdd82f9
calc,multiply,2428005965492,5204673810262,2,5,"{""a"":2424422442,""b"":242456969}",78e8e39a2a4173370af50410f859bc980bdd82f9
calc,multiply,2428008201426,5204113090608,2,5,"{""a"":-42343435435,""b"":-2444224}",78e8e39a2a4173370af50410f859bc980bdd82f9
calc,multiply,2427985842086,5204444327983,2,5,"{""a"":424242424,""b"":0}",78e8e39a2a4173370af50410f859bc980bdd82f9
calc,multiply,2427967954614,5204775990171,2,5,"{""a"":0,""b"":0}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench,cpu_ram_soak_test,2427999257690,106889714753758,2,106,"{""loop_limit"":100}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench,cpu_ram_soak_test,2427999257690,125430356662558,2,125,"{""loop_limit"":500}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench,cpu_ram_soak_test,2428001493624,148606216218660,2,148,"{""loop_limit"":1000}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench,cpu_ram_soak_test,2428001493624,171782018604660,2,171,"{""loop_limit"":1500}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench,cpu_ram_soak_test,2428001493624,194957820990660,2,194,"{""loop_limit"":2000}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench,cpu_ram_soak_test,2428001493624,241309425762660,2,241,"{""loop_limit"":3000}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench-mini,cpu_ram_soak_test,2428001493624,268917292864284,2,268,"{""loop_limit"":5000}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench-mini,cpu_ram_soak_test,2428001493624,163466301856284,2,163,"{""loop_limit"":3000}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench-mini,cpu_ram_soak_test,2428001493624,110740806352284,2,110,"{""loop_limit"":2000}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench-mini,cpu_ram_soak_test,2428001493624,58015310848284,2,58,"{""loop_limit"":1000}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,50975034939822,2,50,"{""loop_limit"":1000}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,28569686377720,2,28,"{""loop_limit"":500}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,10645453264120,2,10,"{""loop_limit"":100}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,55070497209252,2,55,"{""loop_limit"":1000}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,30127769143150,2,30,"{""loop_limit"":500}",78e8e39a2a4173370af50410f859bc980bdd82f9
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,10173632426350,2,10,"{""loop_limit"":100}",78e8e39a2a4173370af50410f859bc980bdd82f9
