Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176978857410,2,5,{},791b44f
calc,multiply,2427967954614,5203301475948,2,5,"{""a"":6,""b"":7}",791b44f
calc,multiply,2427988078020,5203913060766,2,5,"{""a"":2424,""b"":-242552}",791b44f
calc,multiply,2427997021756,5203601075897,2,5,"{""a"":-43222,""b"":-23422424}",791b44f
calc,multiply,2427994785822,5203568588475,2,5,"{""a"":-113444,""b"":1344114}",791b44f
calc,multiply,2427985842086,5203743516847,2,5,"{""a"":0,""b"":133944141}",791b44f
calc,multiply,2427997021756,5204238399350,2,5,"{""a"":31333,""b"":-144422424}",791b44f
calc,multiply,2428005965492,5204440324534,2,5,"{""a"":2424422442,""b"":242456969}",791b44f
calc,multiply,2428008201426,5203879604880,2,5,"{""a"":-42343435435,""b"":-2444224}",791b44f
calc,multiply,2427985842086,5204210842255,2,5,"{""a"":424242424,""b"":0}",791b44f
calc,multiply,2427967954614,5204542504443,2,5,"{""a"":0,""b"":0}",791b44f
bench,cpu_ram_soak_test,2427999257690,107180188113778,2,107,"{""loop_limit"":100}",791b44f
bench,cpu_ram_soak_test,2427999257690,126900991228978,2,126,"{""loop_limit"":500}",791b44f
bench,cpu_ram_soak_test,2428001493624,151552052293080,2,151,"{""loop_limit"":1000}",791b44f
bench,cpu_ram_soak_test,2428001493624,176203056187080,2,176,"{""loop_limit"":1500}",791b44f
bench,cpu_ram_soak_test,2428001493624,200854060081080,2,200,"{""loop_limit"":2000}",791b44f
bench,cpu_ram_soak_test,2428001493624,250156067869080,2,250,"{""loop_limit"":3000}",791b44f
bench-mini,cpu_ram_soak_test,2428001493624,269450312224836,2,269,"{""loop_limit"":5000}",791b44f
bench-mini,cpu_ram_soak_test,2428001493624,163787050168836,2,163,"{""loop_limit"":3000}",791b44f
bench-mini,cpu_ram_soak_test,2428001493624,110955419140836,2,110,"{""loop_limit"":2000}",791b44f
bench-mini,cpu_ram_soak_test,2428001493624,58123788112836,2,58,"{""loop_limit"":1000}",791b44f
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,55784863185024,2,55,"{""loop_limit"":1000}",791b44f
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,30975421590922,2,30,"{""loop_limit"":500}",791b44f
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11127914051722,2,11,"{""loop_limit"":100}",791b44f
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,52262185976940,2,52,"{""loop_limit"":1000}",791b44f
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,28724725158838,2,28,"{""loop_limit"":500}",791b44f
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,9894802240438,2,9,"{""loop_limit"":100}",791b44f
