Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},7a40fd6
calc,multiply,2427967954614,5204586660594,2,5,"{""a"":6,""b"":7}",7a40fd6
calc,multiply,2427988078020,5205198245412,2,5,"{""a"":2424,""b"":-242552}",7a40fd6
calc,multiply,2427997021756,5204886260543,2,5,"{""a"":-43222,""b"":-23422424}",7a40fd6
calc,multiply,2427994785822,5204853773121,2,5,"{""a"":-113444,""b"":1344114}",7a40fd6
calc,multiply,2427985842086,5205028701493,2,5,"{""a"":0,""b"":133944141}",7a40fd6
calc,multiply,2427997021756,5205523583996,2,5,"{""a"":31333,""b"":-144422424}",7a40fd6
calc,multiply,2428005965492,5205725509180,2,5,"{""a"":2424422442,""b"":242456969}",7a40fd6
calc,multiply,2428008201426,5205164789526,2,5,"{""a"":-42343435435,""b"":-2444224}",7a40fd6
calc,multiply,2427985842086,5205496026901,2,5,"{""a"":424242424,""b"":0}",7a40fd6
calc,multiply,2427967954614,5205827689089,2,5,"{""a"":0,""b"":0}",7a40fd6
bench,cpu_ram_soak_test,2427999257690,107520960307906,2,107,"{""loop_limit"":100}",7a40fd6
bench,cpu_ram_soak_test,2427999257690,128600627232706,2,128,"{""loop_limit"":500}",7a40fd6
bench,cpu_ram_soak_test,2428001493624,154950268058808,2,154,"{""loop_limit"":1000}",7a40fd6
bench,cpu_ram_soak_test,2428001493624,181299851714808,2,181,"{""loop_limit"":1500}",7a40fd6
bench,cpu_ram_soak_test,2428001493624,207649435370808,2,207,"{""loop_limit"":2000}",7a40fd6
bench,cpu_ram_soak_test,2428001493624,260348602682808,2,260,"{""loop_limit"":3000}",7a40fd6
bench-mini,cpu_ram_soak_test,2428001493624,271276134316284,2,271,"{""loop_limit"":5000}",7a40fd6
bench-mini,cpu_ram_soak_test,2428001493624,164880619420284,2,164,"{""loop_limit"":3000}",7a40fd6
bench-mini,cpu_ram_soak_test,2428001493624,111682861972284,2,111,"{""loop_limit"":2000}",7a40fd6
bench-mini,cpu_ram_soak_test,2428001493624,58485104524284,2,58,"{""loop_limit"":1000}",7a40fd6
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,57054127866492,2,57,"{""loop_limit"":1000}",7a40fd6
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,31610752774390,2,31,"{""loop_limit"":500}",7a40fd6
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11256098436790,2,11,"{""loop_limit"":100}",7a40fd6
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,54134653397052,2,54,"{""loop_limit"":1000}",7a40fd6
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,29661307628950,2,29,"{""loop_limit"":500}",7a40fd6
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,10082676750550,2,10,"{""loop_limit"":100}",7a40fd6
