Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},9b965a46be45e03b72ab6dd1af8122acf05ae365
calc,multiply,2427967954614,5205053769252,2,5,"{""a"":6,""b"":7}",9b965a46be45e03b72ab6dd1af8122acf05ae365
calc,multiply,2427988078020,5205665354070,2,5,"{""a"":2424,""b"":-242552}",9b965a46be45e03b72ab6dd1af8122acf05ae365
calc,multiply,2427997021756,5205353369201,2,5,"{""a"":-43222,""b"":-23422424}",9b965a46be45e03b72ab6dd1af8122acf05ae365
calc,multiply,2427994785822,5205320881779,2,5,"{""a"":-113444,""b"":1344114}",9b965a46be45e03b72ab6dd1af8122acf05ae365
calc,multiply,2427985842086,5205495810151,2,5,"{""a"":0,""b"":133944141}",9b965a46be45e03b72ab6dd1af8122acf05ae365
calc,multiply,2427997021756,5205990692654,2,5,"{""a"":31333,""b"":-144422424}",9b965a46be45e03b72ab6dd1af8122acf05ae365
calc,multiply,2428005965492,5206192617838,2,5,"{""a"":2424422442,""b"":242456969}",9b965a46be45e03b72ab6dd1af8122acf05ae365
calc,multiply,2428008201426,5205631898184,2,5,"{""a"":-42343435435,""b"":-2444224}",9b965a46be45e03b72ab6dd1af8122acf05ae365
calc,multiply,2427985842086,5205963135559,2,5,"{""a"":424242424,""b"":0}",9b965a46be45e03b72ab6dd1af8122acf05ae365
calc,multiply,2427967954614,5206294797747,2,5,"{""a"":0,""b"":0}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench,cpu_ram_soak_test,2427999257690,107448287915938,2,107,"{""loop_limit"":100}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench,cpu_ram_soak_test,2427999257690,128245255879138,2,128,"{""loop_limit"":500}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench,cpu_ram_soak_test,2428001493624,154241523003240,2,154,"{""loop_limit"":1000}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench,cpu_ram_soak_test,2428001493624,180237732957240,2,180,"{""loop_limit"":1500}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench,cpu_ram_soak_test,2428001493624,206233942911240,2,206,"{""loop_limit"":2000}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench,cpu_ram_soak_test,2428001493624,258226362819240,2,258,"{""loop_limit"":3000}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench-mini,cpu_ram_soak_test,2428001493624,260730759592224,2,260,"{""loop_limit"":5000}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench-mini,cpu_ram_soak_test,2428001493624,158554337464224,2,158,"{""loop_limit"":3000}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench-mini,cpu_ram_soak_test,2428001493624,107466126400224,2,107,"{""loop_limit"":2000}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench-mini,cpu_ram_soak_test,2428001493624,56377915336224,2,56,"{""loop_limit"":1000}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,62112213940902,2,62,"{""loop_limit"":1000}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,34138452770800,2,34,"{""loop_limit"":500}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11759489570800,2,11,"{""loop_limit"":100}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,50857282210116,2,50,"{""loop_limit"":1000}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,28020809504014,2,28,"{""loop_limit"":500}",9b965a46be45e03b72ab6dd1af8122acf05ae365
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,9751677075214,2,9,"{""loop_limit"":100}",9b965a46be45e03b72ab6dd1af8122acf05ae365
