Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176978857410,2,5,{},aa022cb
calc,multiply,2427967954614,5203999389786,2,5,"{""a"":6,""b"":7}",aa022cb
calc,multiply,2427988078020,5204610974604,2,5,"{""a"":2424,""b"":-242552}",aa022cb
calc,multiply,2427997021756,5204298989735,2,5,"{""a"":-43222,""b"":-23422424}",aa022cb
calc,multiply,2427994785822,5204266502313,2,5,"{""a"":-113444,""b"":1344114}",aa022cb
calc,multiply,2427985842086,5204441430685,2,5,"{""a"":0,""b"":133944141}",aa022cb
calc,multiply,2427997021756,5204936313188,2,5,"{""a"":31333,""b"":-144422424}",aa022cb
calc,multiply,2428005965492,5205138238372,2,5,"{""a"":2424422442,""b"":242456969}",aa022cb
calc,multiply,2428008201426,5204577518718,2,5,"{""a"":-42343435435,""b"":-2444224}",aa022cb
calc,multiply,2427985842086,5204908756093,2,5,"{""a"":424242424,""b"":0}",aa022cb
calc,multiply,2427967954614,5205240418281,2,5,"{""a"":0,""b"":0}",aa022cb
bench,cpu_ram_soak_test,2427999257690,107250565016506,2,107,"{""loop_limit"":100}",aa022cb
bench,cpu_ram_soak_test,2427999257690,127251434274106,2,127,"{""loop_limit"":500}",aa022cb
bench,cpu_ram_soak_test,2428001493624,152252578016208,2,152,"{""loop_limit"":1000}",aa022cb
bench,cpu_ram_soak_test,2428001493624,177253664588208,2,177,"{""loop_limit"":1500}",aa022cb
bench,cpu_ram_soak_test,2428001493624,202254751160208,2,202,"{""loop_limit"":2000}",aa022cb
bench,cpu_ram_soak_test,2428001493624,252256924304208,2,252,"{""loop_limit"":3000}",aa022cb
bench-mini,cpu_ram_soak_test,2428001493624,263603005078980,2,263,"{""loop_limit"":5000}",aa022cb
bench-mini,cpu_ram_soak_test,2428001493624,160276370062980,2,160,"{""loop_limit"":3000}",aa022cb
bench-mini,cpu_ram_soak_test,2428001493624,108613052554980,2,108,"{""loop_limit"":2000}",aa022cb
bench-mini,cpu_ram_soak_test,2428001493624,56949735046980,2,56,"{""loop_limit"":1000}",aa022cb
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,59990573003928,2,59,"{""loop_limit"":1000}",aa022cb
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,33075698805826,2,33,"{""loop_limit"":500}",aa022cb
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11543845183426,2,11,"{""loop_limit"":100}",aa022cb
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,47127252240612,2,47,"{""loop_limit"":1000}",aa022cb
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,26156378764510,2,26,"{""loop_limit"":500}",aa022cb
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,9379725719710,2,9,"{""loop_limit"":100}",aa022cb
