Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},c20f54b
calc,multiply,2427967954614,5204236166538,2,5,"{""a"":6,""b"":7}",c20f54b
calc,multiply,2427988078020,5204847751356,2,5,"{""a"":2424,""b"":-242552}",c20f54b
calc,multiply,2427997021756,5204535766487,2,5,"{""a"":-43222,""b"":-23422424}",c20f54b
calc,multiply,2427994785822,5204503279065,2,5,"{""a"":-113444,""b"":1344114}",c20f54b
calc,multiply,2427985842086,5204678207437,2,5,"{""a"":0,""b"":133944141}",c20f54b
calc,multiply,2427997021756,5205173089940,2,5,"{""a"":31333,""b"":-144422424}",c20f54b
calc,multiply,2428005965492,5205375015124,2,5,"{""a"":2424422442,""b"":242456969}",c20f54b
calc,multiply,2428008201426,5204814295470,2,5,"{""a"":-42343435435,""b"":-2444224}",c20f54b
calc,multiply,2427985842086,5205145532845,2,5,"{""a"":424242424,""b"":0}",c20f54b
calc,multiply,2427967954614,5205477195033,2,5,"{""a"":0,""b"":0}",c20f54b
bench,cpu_ram_soak_test,2427999257690,107416039171762,2,107,"{""loop_limit"":100}",c20f54b
bench,cpu_ram_soak_test,2427999257690,128075113229362,2,128,"{""loop_limit"":500}",c20f54b
bench,cpu_ram_soak_test,2428001493624,153899012971464,2,153,"{""loop_limit"":1000}",c20f54b
bench,cpu_ram_soak_test,2428001493624,179722855543464,2,179,"{""loop_limit"":1500}",c20f54b
bench,cpu_ram_soak_test,2428001493624,205546698115464,2,205,"{""loop_limit"":2000}",c20f54b
bench,cpu_ram_soak_test,2428001493624,257194383259464,2,257,"{""loop_limit"":3000}",c20f54b
bench-mini,cpu_ram_soak_test,2428001493624,247339938366816,2,247,"{""loop_limit"":5000}",c20f54b
bench-mini,cpu_ram_soak_test,2428001493624,150519657798816,2,150,"{""loop_limit"":3000}",c20f54b
bench-mini,cpu_ram_soak_test,2428001493624,102109517514816,2,102,"{""loop_limit"":2000}",c20f54b
bench-mini,cpu_ram_soak_test,2428001493624,53699377230816,2,53,"{""loop_limit"":1000}",c20f54b
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,59758314567444,2,59,"{""loop_limit"":1000}",c20f54b
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,32960271721342,2,32,"{""loop_limit"":500}",c20f54b
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11521883180542,2,11,"{""loop_limit"":100}",c20f54b
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,56477169724500,2,56,"{""loop_limit"":1000}",c20f54b
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,30831396656398,2,30,"{""loop_limit"":500}",c20f54b
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,10314823937998,2,10,"{""loop_limit"":100}",c20f54b
