Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},d057b4b
calc,multiply,2427967954614,5204701629684,2,5,"{""a"":6,""b"":7}",d057b4b
calc,multiply,2427988078020,5205313214502,2,5,"{""a"":2424,""b"":-242552}",d057b4b
calc,multiply,2427997021756,5205001229633,2,5,"{""a"":-43222,""b"":-23422424}",d057b4b
calc,multiply,2427994785822,5204968742211,2,5,"{""a"":-113444,""b"":1344114}",d057b4b
calc,multiply,2427985842086,5205143670583,2,5,"{""a"":0,""b"":133944141}",d057b4b
calc,multiply,2427997021756,5205638553086,2,5,"{""a"":31333,""b"":-144422424}",d057b4b
calc,multiply,2428005965492,5205840478270,2,5,"{""a"":2424422442,""b"":242456969}",d057b4b
calc,multiply,2428008201426,5205279758616,2,5,"{""a"":-42343435435,""b"":-2444224}",d057b4b
calc,multiply,2427985842086,5205610995991,2,5,"{""a"":424242424,""b"":0}",d057b4b
calc,multiply,2427967954614,5205942658179,2,5,"{""a"":0,""b"":0}",d057b4b
bench,cpu_ram_soak_test,2427999257690,107128666133326,2,107,"{""loop_limit"":100}",d057b4b
bench,cpu_ram_soak_test,2427999257690,126661222675726,2,126,"{""loop_limit"":500}",d057b4b
bench,cpu_ram_soak_test,2428001493624,151076975523828,2,151,"{""loop_limit"":1000}",d057b4b
bench,cpu_ram_soak_test,2428001493624,175492671201828,2,175,"{""loop_limit"":1500}",d057b4b
bench,cpu_ram_soak_test,2428001493624,199908366879828,2,199,"{""loop_limit"":2000}",d057b4b
bench,cpu_ram_soak_test,2428001493624,248739758235828,2,248,"{""loop_limit"":3000}",d057b4b
bench-mini,cpu_ram_soak_test,2428001493624,257801373878244,2,257,"{""loop_limit"":5000}",d057b4b
bench-mini,cpu_ram_soak_test,2428001493624,156798201806244,2,156,"{""loop_limit"":3000}",d057b4b
bench-mini,cpu_ram_soak_test,2428001493624,106296615770244,2,106,"{""loop_limit"":2000}",d057b4b
bench-mini,cpu_ram_soak_test,2428001493624,55795029734244,2,55,"{""loop_limit"":1000}",d057b4b
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,58716815720748,2,58,"{""loop_limit"":1000}",d057b4b
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,32439988800646,2,32,"{""loop_limit"":500}",d057b4b
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11418573000646,2,11,"{""loop_limit"":100}",d057b4b
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,54140420916612,2,54,"{""loop_limit"":1000}",d057b4b
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,29663372746510,2,29,"{""loop_limit"":500}",d057b4b
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,10081779946510,2,10,"{""loop_limit"":100}",d057b4b
