Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},dc2db48
calc,multiply,2427967954614,5205170600604,2,5,"{""a"":6,""b"":7}",dc2db48
calc,multiply,2427988078020,5205782185422,2,5,"{""a"":2424,""b"":-242552}",dc2db48
calc,multiply,2427997021756,5205470200553,2,5,"{""a"":-43222,""b"":-23422424}",dc2db48
calc,multiply,2427994785822,5205437713131,2,5,"{""a"":-113444,""b"":1344114}",dc2db48
calc,multiply,2427985842086,5205612641503,2,5,"{""a"":0,""b"":133944141}",dc2db48
calc,multiply,2427997021756,5206107524006,2,5,"{""a"":31333,""b"":-144422424}",dc2db48
calc,multiply,2428005965492,5206309449190,2,5,"{""a"":2424422442,""b"":242456969}",dc2db48
calc,multiply,2428008201426,5205748729536,2,5,"{""a"":-42343435435,""b"":-2444224}",dc2db48
calc,multiply,2427985842086,5206079966911,2,5,"{""a"":424242424,""b"":0}",dc2db48
calc,multiply,2427967954614,5206411629099,2,5,"{""a"":0,""b"":0}",dc2db48
bench,cpu_ram_soak_test,2427999257690,107263329076114,2,107,"{""loop_limit"":100}",dc2db48
bench,cpu_ram_soak_test,2427999257690,127310601772114,2,127,"{""loop_limit"":500}",dc2db48
bench,cpu_ram_soak_test,2428001493624,152369749812216,2,152,"{""loop_limit"":1000}",dc2db48
bench,cpu_ram_soak_test,2428001493624,177428840682216,2,177,"{""loop_limit"":1500}",dc2db48
bench,cpu_ram_soak_test,2428001493624,202487931552216,2,202,"{""loop_limit"":2000}",dc2db48
bench,cpu_ram_soak_test,2428001493624,252606113292216,2,252,"{""loop_limit"":3000}",dc2db48
bench-mini,cpu_ram_soak_test,2428001493624,273066208876014,2,273,"{""loop_limit"":5000}",dc2db48
bench-mini,cpu_ram_soak_test,2428001493624,165956541772014,2,165,"{""loop_limit"":3000}",dc2db48
bench-mini,cpu_ram_soak_test,2428001493624,112401708220014,2,112,"{""loop_limit"":2000}",dc2db48
bench-mini,cpu_ram_soak_test,2428001493624,58846874668014,2,58,"{""loop_limit"":1000}",dc2db48
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,61405927886268,2,61,"{""loop_limit"":1000}",dc2db48
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,33785540418166,2,33,"{""loop_limit"":500}",dc2db48
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11689276179766,2,11,"{""loop_limit"":100}",dc2db48
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,53192954853156,2,53,"{""loop_limit"":1000}",dc2db48
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,29189402761054,2,29,"{""loop_limit"":500}",dc2db48
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,9986606823454,2,9,"{""loop_limit"":100}",dc2db48
