Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},dcd55d1
calc,multiply,2427967954614,5203297401942,2,5,"{""a"":6,""b"":7}",dcd55d1
calc,multiply,2427988078020,5203908986760,2,5,"{""a"":2424,""b"":-242552}",dcd55d1
calc,multiply,2427997021756,5203597001891,2,5,"{""a"":-43222,""b"":-23422424}",dcd55d1
calc,multiply,2427994785822,5203564514469,2,5,"{""a"":-113444,""b"":1344114}",dcd55d1
calc,multiply,2427985842086,5203739442841,2,5,"{""a"":0,""b"":133944141}",dcd55d1
calc,multiply,2427997021756,5204234325344,2,5,"{""a"":31333,""b"":-144422424}",dcd55d1
calc,multiply,2428005965492,5204436250528,2,5,"{""a"":2424422442,""b"":242456969}",dcd55d1
calc,multiply,2428008201426,5203875530874,2,5,"{""a"":-42343435435,""b"":-2444224}",dcd55d1
calc,multiply,2427985842086,5204206768249,2,5,"{""a"":424242424,""b"":0}",dcd55d1
calc,multiply,2427967954614,5204538430437,2,5,"{""a"":0,""b"":0}",dcd55d1
bench,cpu_ram_soak_test,2427999257690,106899001200730,2,106,"{""loop_limit"":100}",dcd55d1
bench,cpu_ram_soak_test,2427999257690,125491312186330,2,125,"{""loop_limit"":500}",dcd55d1
bench,cpu_ram_soak_test,2428001493624,148731758088432,2,148,"{""loop_limit"":1000}",dcd55d1
bench,cpu_ram_soak_test,2428001493624,171972146820432,2,171,"{""loop_limit"":1500}",dcd55d1
bench,cpu_ram_soak_test,2428001493624,195212535552432,2,195,"{""loop_limit"":2000}",dcd55d1
bench,cpu_ram_soak_test,2428001493624,241693313016432,2,241,"{""loop_limit"":3000}",dcd55d1
bench-mini,cpu_ram_soak_test,2428001493624,240802663925580,2,240,"{""loop_limit"":5000}",dcd55d1
bench-mini,cpu_ram_soak_test,2428001493624,146597101925580,2,146,"{""loop_limit"":3000}",dcd55d1
bench-mini,cpu_ram_soak_test,2428001493624,99494320925580,2,99,"{""loop_limit"":2000}",dcd55d1
bench-mini,cpu_ram_soak_test,2428001493624,52391539925580,2,52,"{""loop_limit"":1000}",dcd55d1
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,57302021781024,2,57,"{""loop_limit"":1000}",dcd55d1
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,31733587776922,2,31,"{""loop_limit"":500}",dcd55d1
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11278886309722,2,11,"{""loop_limit"":100}",dcd55d1
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,52039215632940,2,52,"{""loop_limit"":1000}",dcd55d1
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,28613238252838,2,28,"{""loop_limit"":500}",dcd55d1
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,9872502084838,2,9,"{""loop_limit"":100}",dcd55d1
