Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176978857410,2,5,{},e945c9e
calc,multiply,2427967954614,5204002464060,2,5,"{""a"":6,""b"":7}",e945c9e
calc,multiply,2427988078020,5204614048878,2,5,"{""a"":2424,""b"":-242552}",e945c9e
calc,multiply,2427997021756,5204302064009,2,5,"{""a"":-43222,""b"":-23422424}",e945c9e
calc,multiply,2427994785822,5204269576587,2,5,"{""a"":-113444,""b"":1344114}",e945c9e
calc,multiply,2427985842086,5204444504959,2,5,"{""a"":0,""b"":133944141}",e945c9e
calc,multiply,2427997021756,5204939387462,2,5,"{""a"":31333,""b"":-144422424}",e945c9e
calc,multiply,2428005965492,5205141312646,2,5,"{""a"":2424422442,""b"":242456969}",e945c9e
calc,multiply,2428008201426,5204580592992,2,5,"{""a"":-42343435435,""b"":-2444224}",e945c9e
calc,multiply,2427985842086,5204911830367,2,5,"{""a"":424242424,""b"":0}",e945c9e
calc,multiply,2427967954614,5205243492555,2,5,"{""a"":0,""b"":0}",e945c9e
bench,cpu_ram_soak_test,2427999257690,107742996001090,2,107,"{""loop_limit"":100}",e945c9e
bench,cpu_ram_soak_test,2427999257690,129708935689090,2,129,"{""loop_limit"":500}",e945c9e
bench,cpu_ram_soak_test,2428001493624,157166417469192,2,157,"{""loop_limit"":1000}",e945c9e
bench,cpu_ram_soak_test,2428001493624,184623842079192,2,184,"{""loop_limit"":1500}",e945c9e
bench,cpu_ram_soak_test,2428001493624,212081266689192,2,212,"{""loop_limit"":2000}",e945c9e
bench,cpu_ram_soak_test,2428001493624,266996115909192,2,266,"{""loop_limit"":3000}",e945c9e
bench-mini,cpu_ram_soak_test,2428001493624,273041192940060,2,273,"{""loop_limit"":5000}",e945c9e
bench-mini,cpu_ram_soak_test,2428001493624,165939753396060,2,165,"{""loop_limit"":3000}",e945c9e
bench-mini,cpu_ram_soak_test,2428001493624,112389033624060,2,112,"{""loop_limit"":2000}",e945c9e
bench-mini,cpu_ram_soak_test,2428001493624,58838313852060,2,58,"{""loop_limit"":1000}",e945c9e
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,56940737457060,2,56,"{""loop_limit"":1000}",e945c9e
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,31550841504958,2,31,"{""loop_limit"":500}",e945c9e
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11238970479358,2,11,"{""loop_limit"":100}",e945c9e
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,54368566395852,2,54,"{""loop_limit"":1000}",e945c9e
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,29777155141750,2,29,"{""loop_limit"":500}",e945c9e
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,10104071874550,2,10,"{""loop_limit"":100}",e945c9e
