Contract,Method,Gas burned,Gas used,Tgas burned,Tgas used,Input,Commit
const,value,2427936651538,5176975389410,2,5,{},f31b2c2
calc,multiply,2427967954614,5204235949788,2,5,"{""a"":6,""b"":7}",f31b2c2
calc,multiply,2427988078020,5204847534606,2,5,"{""a"":2424,""b"":-242552}",f31b2c2
calc,multiply,2427997021756,5204535549737,2,5,"{""a"":-43222,""b"":-23422424}",f31b2c2
calc,multiply,2427994785822,5204503062315,2,5,"{""a"":-113444,""b"":1344114}",f31b2c2
calc,multiply,2427985842086,5204677990687,2,5,"{""a"":0,""b"":133944141}",f31b2c2
calc,multiply,2427997021756,5205172873190,2,5,"{""a"":31333,""b"":-144422424}",f31b2c2
calc,multiply,2428005965492,5205374798374,2,5,"{""a"":2424422442,""b"":242456969}",f31b2c2
calc,multiply,2428008201426,5204814078720,2,5,"{""a"":-42343435435,""b"":-2444224}",f31b2c2
calc,multiply,2427985842086,5205145316095,2,5,"{""a"":424242424,""b"":0}",f31b2c2
calc,multiply,2427967954614,5205476978283,2,5,"{""a"":0,""b"":0}",f31b2c2
bench,cpu_ram_soak_test,2427999257690,107720593217740,2,107,"{""loop_limit"":100}",f31b2c2
bench,cpu_ram_soak_test,2427999257690,129595042438540,2,129,"{""loop_limit"":500}",f31b2c2
bench,cpu_ram_soak_test,2428001493624,156938161134642,2,156,"{""loop_limit"":1000}",f31b2c2
bench,cpu_ram_soak_test,2428001493624,184281222660642,2,184,"{""loop_limit"":1500}",f31b2c2
bench,cpu_ram_soak_test,2428001493624,211624284186642,2,211,"{""loop_limit"":2000}",f31b2c2
bench,cpu_ram_soak_test,2428001493624,266310407238642,2,266,"{""loop_limit"":3000}",f31b2c2
bench-mini,cpu_ram_soak_test,2428001493624,252537636867360,2,252,"{""loop_limit"":5000}",f31b2c2
bench-mini,cpu_ram_soak_test,2428001493624,153637429131360,2,153,"{""loop_limit"":3000}",f31b2c2
bench-mini,cpu_ram_soak_test,2428001493624,104187325263360,2,104,"{""loop_limit"":2000}",f31b2c2
bench-mini,cpu_ram_soak_test,2428001493624,54737221395360,2,54,"{""loop_limit"":1000}",f31b2c2
bench_with_writing_in_memory,cpu_ram_soak_test,2428001493624,58584243400956,2,58,"{""loop_limit"":1000}",f31b2c2
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,32372825582854,2,32,"{""loop_limit"":500}",f31b2c2
bench_with_writing_in_memory,cpu_ram_soak_test,2427999257690,11403737064454,2,11,"{""loop_limit"":100}",f31b2c2
bench_without_memory_allocation,cpu_ram_soak_test,2428001493624,49568376520440,2,49,"{""loop_limit"":1000}",f31b2c2
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,27376121762338,2,27,"{""loop_limit"":500}",f31b2c2
bench_without_memory_allocation,cpu_ram_soak_test,2427999257690,9622363691938,2,9,"{""loop_limit"":100}",f31b2c2
